Date,Content,Comment
2021-03-14,https://boxd.it/1ION6V,Oh god I regret buying it then lmao
2021-03-14,https://boxd.it/1ION6V,Ah that's good
2021-03-16,https://boxd.it/1J0WRF,Lol yup
2021-03-16,https://boxd.it/1J0WRF,That's probably true though it isn't like I have easy access to weed lol
2021-03-17,https://boxd.it/1JcM6j,"Funny you mention those two in particular, I was just talking to one of my friends and mentioned those exact films as seeming like they'd be more my thing!

And I think it's interesting that this was a bad place to start, other people have said the exact opposite. Though you might be right, if the rest of his work ends up living up to the hype for me."
2021-03-17,https://boxd.it/1Jeqfd,I really disagree with the story being disinteresting but I do agree with the ending lmao
2021-03-25,https://boxd.it/bsCmU,cringe
2021-03-25,https://boxd.it/aGr40,pressure cook my greasy balls
2021-03-25,https://boxd.it/aGr40,Mix my cock with cake batter
2021-03-25,https://boxd.it/aGr40,"Consume the cum chalice, fuck everyone named Alex"
2021-03-29,https://boxd.it/1KToah,"That's what I've heard, though I can't see it growing enough to join the ranks of Mr. Fox and Rushmore"
2021-03-30,https://boxd.it/1L0efb,"I didn't find it that bad to be honest, it was barely a part of the story. If anything, I wish the chemistry between Fred and Deborah was better established at the beginning since the movie just jumped from the two of them meeting to a scene where they share their first kiss and have sex minutes later"
2021-03-31,https://boxd.it/1L50fh,How did you watch this?
2021-04-01,https://boxd.it/1Lf26r,I mean it could be considered a horror film for a certain age group
2021-04-04,https://boxd.it/1LpidN,Do check it out soon! It's my favorite Kurosawa yet (by a fair margin) though I haven't seen High and Low or Seven Samurai yet
2021-04-06,https://boxd.it/2Tj4A,Everyone gave Paddington a 7
2021-04-12,https://boxd.it/1MOktH,So many based re-watches
2021-04-20,https://boxd.it/2Tj4A,Whiplash is technically an agreed rating since Schafrillas was a guest
2021-04-21,https://boxd.it/bPt7M,Why is it a question you should definitely watch Apples
2021-04-21,https://boxd.it/bPt7M,Man you have money for 100+ criterions but not one ticket to Apples?
2021-04-27,https://boxd.it/2U4Ru,"The Lighthouse, Satantango, City of God, and arguably There Will Be Blood, The Hunt (2012) and Birdman fit here"
2021-04-27,https://boxd.it/1P41TL,"Yeah I hated the In Memoriam section too, especially since they put Ennio Morricone towards the beginning like he wasn't that significant"
2021-05-17,https://boxd.it/1RPjXt,I just farted
2021-05-17,https://boxd.it/2Tj4A,American Beauty is also an agreed 10
2021-05-19,https://boxd.it/1REeFd,She's been on a losing streak since 2017 Justice League
2021-05-20,https://boxd.it/43XeO,How are Promising Young Woman and There Will Be Blood not already here
2021-05-20,https://boxd.it/1S8rL9,Great review. This is an all time favorite of mine both personally and as an aspiring filmmaker; it's one I take inspiration from
2021-05-29,https://boxd.it/1TicEr,I suddenly want to live in NYC
2021-05-31,https://boxd.it/1TEWMv,YOU'RE USING MY RATING SYSTEM :)
2021-06-02,https://boxd.it/1TQeaB,"I think they considered Jesse Plemons the lead actor but I have no idea, that's my best guess... the academy and their logic makes no sense"
2021-06-04,https://boxd.it/1U0I5V,"My thoughts exactly, I'm glad to see someone else agree"
2021-06-10,https://boxd.it/1UVn9h,YES
2021-06-13,https://boxd.it/1VoHM7,":,("
2021-06-15,https://boxd.it/1VyFFt,I'm still trying to figure that out myself. Part of it I think was that I finished the movie at like 2:15 AM so I was tired and frustrated... let's just say this was a learning experience to not watch David Lynch films so late at night because I really don't hate this movie.
2021-06-19,https://boxd.it/5QOKy,Great list!
2021-06-21,https://boxd.it/c0QRU,"Congrats on 10K!

My 10 votes are...
It's Such a Beautiful Day - The Hunt - Barton Fink - Rushmore - Y Tu Mama Tambien - Cinema Paradiso - Incendies - The Act of Killing - Embrace of the Serpent - Hunger"
2021-06-24,https://boxd.it/1WJLIz,"Hi Lucy, I've never been this early. How are you?"
2021-06-24,https://boxd.it/1WJLIz,Pretty solid myself. I'm tired but my day is going well! I love your reviews btw
2021-06-24,https://boxd.it/1WJLIz,"@Joshua - what's up fam 😎

@Lucy - no problem! Now that you've recognized me, I can commence the next step in my Ingrid Goes West plan >:) (KIDDING)"
2021-06-29,https://boxd.it/1Xmvz5,Emotional wreck gang
2021-07-02,https://boxd.it/1XJkrF,"Great review! I remember the first time I saw this movie, I found some issues in the structure as well but honestly as the film sat on me I only found more appreciation in the way the narrative is presented, hopefully you feel the same after a while"
2021-07-02,https://boxd.it/1XJkrF,"Ohhh okay that makes sense. Yeah that is a cheesy way to reveal things, maybe it's me who needs a rewatch"
2021-07-03,https://boxd.it/1XVu3d,Good rating moment
2021-07-07,https://boxd.it/1YvCtZ,Can't wait to see it in a couple days 🤪
2021-07-08,https://boxd.it/1YERWv,Wait it did? I looked at justwatch.com and this was the cheapest way to do it
2021-07-09,https://boxd.it/1YwU8n,That's a David Lynch move right there
2021-07-09,https://boxd.it/1YLDah,"I definitely appreciated how the story tried to tie in themes of childhood trauma but once the family re-united it felt so cleanly resolved, and after a few minutes I had completely forgotten there was any conflict between them. David Harbour sings American Pie and all is forgiven, it was really frustrating"
2021-07-15,https://boxd.it/1ZDP65,Why is this spoiler marked
2021-07-24,https://boxd.it/1vHWf7,Did I ask
2021-07-25,https://boxd.it/1jQhRp,Please fuck me 😣😣😣😣😣😣
2021-07-27,https://boxd.it/2Tj4A,Oldboy agreed 10
2021-07-29,https://boxd.it/21HD7h,To be fair I was close to giving this one a 7 but I decided to give it the bump up both for the positive theatrical experience and the fact that the story is ambitious enough and mostly pulled off well.
2021-07-29,https://boxd.it/21QbeR,Last sentence... relationship goals ig?
2021-08-06,https://boxd.it/22Ztn5,ok
2021-08-07,https://boxd.it/231WnR,"It feels like an MCU deconstruction and I'm here for it. There's over the top, gratuitous violence, main characters actually die, and on a grand scale they say ""fuck the government"
2021-08-18,https://boxd.it/24GNuv,What does being an Asian film have to do with it? And did you read my review? Because I explain why
2021-08-18,https://boxd.it/24GNuv,And @TMPA yeah it's very Kubrickian. There was a feature on the Blu-Ray with interviews from the actors and Nicole Kidman compared Lanthimos' meticulous directing to that of Kubrick's.
2021-08-19,https://boxd.it/24OOc9,FR
2021-08-29,https://boxd.it/268U7D,This isn't even really a Jordan Peele film. He helped with the screenplay but this is primarily the work of Nia DiCosta
2021-09-08,https://boxd.it/27GZ0z,"Maybe I need to see it again but I've seen a lot of people complain about how ""obvious"" every theme is and I have to disagree. I love how the art aspect and racial themes were incorporated to the story and they seriously kept me interested, even in the way they were executed."
2021-09-09,https://boxd.it/27QMAJ,"I'm not sure I would say I... loved it. The first hour and 20 minutes lead it on the way to being a new favorite, but then from the magical tour to the end I just wasn't as enamored by it. I absolutely still cared about what was happening but I really just didn't understand half of it."
2021-09-09,https://boxd.it/27QMAJ,"Yeah I definitely still have a lot to process but I have a general idea for what the end might mean, but I'm sure about nothing."
2021-09-09,https://boxd.it/27QMAJ,"Thank you! And yeah, this film is fascinating but also complex enough where you kinda have to watch it at least twice"
2021-09-14,https://boxd.it/28vjAH,Finally it seems like someone agrees with my take on this movie
2021-09-14,https://boxd.it/286bf7,"Glad to hear I'm not the only one, most other people I follow seem to really like the movie and I can't process that"
2021-09-14,https://boxd.it/28wQ9V,What a first sentence that is
2021-09-14,https://boxd.it/28yNIn,I love this movie SO much I'm so happy to see you give it 5 stars
2021-09-16,https://boxd.it/28L1MR,"First review: reigny day
Second review: *this*

The duality of man"
2021-09-16,https://boxd.it/28L1MR,Ah yeah makes sense
2021-09-17,https://boxd.it/28Sh3n,I'm definitely planning to! I'll probably get around to it next week sometime
2021-10-08,https://boxd.it/2bMeAD,...
2021-10-09,https://boxd.it/2bUifb,To be completely honest it's interesting enough but I haven't really cared about any of the movies we're watching and I'm really trying but I get a lot more out of watching Studio Binder or reading No Film School. I'm learning about history but it doesn't benefit me as a filmmaker at all
2021-10-16,https://boxd.it/28gWix,"Should I watch Reprise and Oslo, August 31st before this one? Or could I watch and still enjoy it as a standalone movie?"
2021-10-16,https://boxd.it/1YNd1H,"Should I watch Reprise and Oslo, August 31st before this one? Or could I watch and still enjoy it as a standalone movie?"
2021-10-17,https://boxd.it/2dfu6r,I really hope you love it
2021-10-21,https://boxd.it/2dQm3t,I watched this today as well and have similar thoughts. Still a better 2021 farm animal movie than Lamb
2021-11-01,https://boxd.it/2frjX7,"Yeah it's honestly jarring, but I guess it alleviated my expectations in such a way that that I was blown away by the film"
2021-11-09,https://boxd.it/2gOYgj,Hf you have returned
2021-11-15,https://boxd.it/2hQhFj,"Yeah! I wanted to watch Mirai or Summer Wars before this but ran out of time. No matter, this was a great intro to his work"
2021-11-28,https://boxd.it/2jRliX,"To me the documentary sections served a really strong purpose. Not only is it Joaquin’s job and the reason they’re traveling around so it’s necessary to the story, but it presents a juxtaposition between these kids who have experienced the tough side of life and are looking back on it, while he’s looking after Jesse who is currently going through that himself with his parents. They keep the story going along too and allow for different perspectives on… well just life in general since that’s what this movie is.

Side note but interesting, all the kids interviewed were actual kids living in those cities, not actors."
2021-11-30,https://boxd.it/2jR8Cl,"I'm glad. I don't want to raise your expectations too terribly high, but it's a masterpiece"
2021-12-02,https://boxd.it/edmVw,"Thanks for the recs, I didn't actually realize My Blueberry Nights was English language"
2021-12-06,https://boxd.it/2kUAJf,Yesss I genuinely loved that LOL
2021-12-13,https://boxd.it/e32kK,They’ve been on my radar for long enough that I made this list for them specifically! Evangelion specifically I plan to start this month
2021-12-15,https://boxd.it/2mnlVx,"I’m glad you love it too, I honestly don’t see where any sort of hate comes from for this movie."
2021-12-17,https://boxd.it/2mnlVx,Fully agreed
2021-12-23,https://boxd.it/jJcsn,What are your thoughts on this? And are you planning to see the new one?
2021-12-24,https://boxd.it/2nXzGd,"“I could potentially feel whole again”
<blockquote>Places film at #88</blockquote>"
2021-12-24,https://boxd.it/2o3NYn,So glad you loved it
2021-12-25,https://boxd.it/bqQqM,Thanks!
2021-12-25,https://boxd.it/2ocV1V,They watched the first two while I was still sleeping. I woke up and came downstairs to help them finish decorating the house and they had this playing.
2021-12-27,https://boxd.it/2oDc6P,It’s a lot more uncomfortable when you’re in a theater next to a bunch of strangers watching a montage of dicks
2021-12-27,https://boxd.it/2oNKn1,OLIVER WHY DIDN’T YOU SAY HI
2021-12-27,https://boxd.it/2oNKn1,How is it wrongful judging lmao it’s my personal opinion based on my own enjoyment of the movie
2021-12-27,https://boxd.it/2oNKn1,Tf is that supposed to mean
2021-12-28,https://boxd.it/2p0Ec3,"Personally I didn’t but embarrassingly enough I haven’t watched as much Miyazaki as I should’ve so maybe that’s part of it.

And I’m sorry Josef I’m glad you loved it I wish I could say the same :( this feels like I film I’d love as a kid and have nostalgia for now but having seen it for the first time when I was 18 I didn’t get very much out of it :/"
2021-12-28,https://boxd.it/2p7Ekb,lol what crowds?
