Date,Name,Year,Letterboxd URI,Rating
2025-04-13,A Minecraft Movie,2025,https://boxd.it/zRro,2
2025-04-20,The Tree of Life,2011,https://boxd.it/1Zu8,4
2025-04-22,Sinners,2025,https://boxd.it/KQMM,3
2025-04-25,Daisies,1966,https://boxd.it/LZk,4
2025-05-04,Thunderbolts*,2025,https://boxd.it/BfbQ,3.5
2025-05-17,Final Destination Bloodlines,2025,https://boxd.it/l5y4,3.5
2025-05-22,Final Destination,2000,https://boxd.it/1YrC,2.5
2025-05-25,Friendship,2024,https://boxd.it/L6Dc,4
2025-05-29,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,3.5
2025-05-29,Moulin Rouge!,2001,https://boxd.it/29wI,3
2025-05-29,Mysterious Skin,2004,https://boxd.it/1UsG,4.5
2025-05-30,Bring Her Back,2025,https://boxd.it/Hxlc,4.5
2025-06-15,Past Lives,2023,https://boxd.it/oNB8,4
2025-06-15,Materialists,2025,https://boxd.it/GZlW,4
2025-06-16,The Life of Chuck,2024,https://boxd.it/vMTu,3.5
2025-06-18,We're All Going to the World's Fair,2021,https://boxd.it/tbmY,3
2025-07-10,Ghost World,2001,https://boxd.it/28Dy,4
2025-07-10,F1,2025,https://boxd.it/yjVM,3.5
2025-07-13,Superman,2025,https://boxd.it/E9IU,4
2025-07-21,Eddington,2025,https://boxd.it/o6MC,3.5
2025-07-21,28 Years Later,2025,https://boxd.it/FEGM,3
2025-07-28,10 Things I Hate About You,1999,https://boxd.it/23AO,4.5
2025-07-28,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,3.5
2025-08-15,Weapons,2025,https://boxd.it/EMTM,4.5
2025-08-15,The Naked Gun,2025,https://boxd.it/Da9k,3
2025-08-19,Shin Godzilla,2016,https://boxd.it/a9lm,3.5
2025-09-02,Caught Stealing,2025,https://boxd.it/LnyS,3
2025-09-06,Lost in Translation,2003,https://boxd.it/2b0E,4
2025-09-07,The Godfather,1972,https://boxd.it/2aNK,3.5
2025-09-12,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2025-09-12,GoodFellas,1990,https://boxd.it/29FA,4.5
2025-09-12,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4.5
2025-09-13,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2025-09-22,Before Sunrise,1995,https://boxd.it/2bcU,4.5
2025-09-24,Before Sunset,2004,https://boxd.it/2bcg,4.5
2025-09-27,One Battle After Another,2025,https://boxd.it/DUHM,5
2025-10-13,The Smashing Machine,2025,https://boxd.it/syUC,3.5
2025-10-13,There Will Be Blood,2007,https://boxd.it/20Z2,5
2025-10-13,Perfect Blue,1997,https://boxd.it/1W7A,4
2025-10-26,Black Phone 2,2025,https://boxd.it/JpbW,3
2025-10-31,Bugonia,2025,https://boxd.it/qeWY,4
2025-11-01,House,1977,https://boxd.it/1vsm,3.5
2025-11-15,Die My Love,2025,https://boxd.it/D5cI,4
2025-11-16,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,2.5
2025-11-18,Infinity Pool,2023,https://boxd.it/oPSK,3
2025-11-18,Frankenstein,2025,https://boxd.it/Ecsg,4
2025-11-22,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,4
2025-11-25,Sentimental Value,2025,https://boxd.it/GwcG,4
2025-11-25,Wicked: For Good,2025,https://boxd.it/AyfK,3
2025-11-26,Dinner in America,2020,https://boxd.it/oinu,3.5
2025-11-28,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2025-11-28,Monsters University,2013,https://boxd.it/bQm,3
2025-12-03,Zootopia 2,2025,https://boxd.it/F0vO,3.5
2025-12-07,Hamnet,2025,https://boxd.it/woVy,4.5
2025-12-10,Eternity,2025,https://boxd.it/LYtK,3.5
2025-12-20,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,2.5
2025-12-29,House of Wax,2005,https://boxd.it/1XaU,3
2026-01-05,Eyes Without a Face,1960,https://boxd.it/1j9i,4
2026-01-07,Primate,2025,https://boxd.it/Obz6,2
2026-01-10,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,4.5
2026-01-13,Marty Supreme,2025,https://boxd.it/Off0,5
2026-01-19,No Other Choice,2025,https://boxd.it/nKiA,4
2026-02-02,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA,3.5
2026-02-02,The Master,2012,https://boxd.it/2cBG,4
2026-02-16,The Moment,2026,https://boxd.it/SCkg,3.5
2026-02-16,Wuthering Heights,2026,https://boxd.it/OdIa,2.5
2026-02-16,Phantom Thread,2017,https://boxd.it/e4uc,4
2026-02-16,Send Help,2026,https://boxd.it/JuhA,3.5
2026-03-05,La La Land,2016,https://boxd.it/a5fa,4
2026-04-05,The Drama,2026,https://boxd.it/OA2w,4.5
2026-04-05,Project Hail Mary,2026,https://boxd.it/pEeQ,4
2026-04-05,Nirvanna the Band the Show the Movie,2025,https://boxd.it/HG9a,4
2026-04-05,Silver Linings Playbook,2012,https://boxd.it/2TTo,4
2026-04-05,Hoppers,2026,https://boxd.it/OFpg,3.5
